Film,Year,Awards,Nominations
Parasite,2019,4,6
Ford v Ferrari,2019,2,4
Learning to Skateboard in a Warzone (If You're a Girl),2019,1,1
The Neighbors' Window,2019,1,1
Little Women,2019,1,6
Marriage Story,2019,1,6
Jojo Rabbit,2019,1,6
Toy Story 4,2019,1,2
Joker,2019,2,11
Once Upon a Time in Hollywood,2019,2,10
1917,2019,3,10
Judy,2019,1,2
Bombshell,2019,1,3
Rocketman,2019,1,1
American Factory,2019,1,1
Hair Love,2019,1,1
Green Book,2018,3,5
Bohemian Rhapsody,2018,4,5
Roma,2018,3,10
Black Panther,2018,3,7
The Favourite,2018,1,10
A Star Is Born,2018,1,8
Vice,2018,1,8
BlacKkKlansman,2018,1,6
First Man,2018,1,4
If Beale Street Could Talk,2018,1,3
Bao,2018,1,1
Free Solo,2018,1,1
Period. End of Sentence.,2018,1,1
Skin,2018,1,1
Spider-Man: Into the Spider-Verse,2018,1,1
The Shape of Water,2017,4,13
Dunkirk,2017,3,8
"Three Billboards Outside Ebbing, Missouri",2017,2,7
Darkest Hour,2017,2,6
Blade Runner 2049,2017,2,5
Coco,2017,2,2
Phantom Thread,2017,1,6
Call Me by Your Name,2017,1,4
Get Out,2017,1,4
"I, Tonya",2017,1,3
Dear Basketball,2017,1,1
A Fantastic Woman,2017,1,1
Heaven Is a Traffic Jam on the 405,2017,1,1
Icarus,2017,1,1
The Silent Child,2017,1,1
Flesh and Sand (Carne y arena),2017,0 (1)[1],0
Moonlight,2016,3,8
La La Land,2016,6,14
Hacksaw Ridge,2016,2,6
Manchester by the Sea,2016,2,6
Arrival,2016,1,8
Fences,2016,1,4
Fantastic Beasts and Where to Find Them,2016,1,2
The Jungle Book,2016,1,1
O.J.: Made in America,2016,1,1
Piper,2016,1,1
The Salesman,2016,1,1
Sing,2016,1,1
Suicide Squad,2016,1,1
The White Helmets,2016,1,1
Zootopia,2016,1,1
Spotlight,2015,2,6
Mad Max: Fury Road,2015,6,10
The Revenant,2015,3,12
Bridge of Spies,2015,1,6
The Big Short,2015,1,5
The Danish Girl,2015,1,4
Room,2015,1,4
The Hateful Eight,2015,1,3
Ex Machina,2015,1,2
Inside Out,2015,1,2
Amy,2015,1,1
Bear Story,2015,1,1
A Girl in the River: The Price of Forgiveness,2015,1,1
Son of Saul,2015,1,1
Spectre,2015,1,1
Stutterer,2015,1,1
Birdman,2014,4,9
The Grand Budapest Hotel,2014,4,9
Whiplash,2014,3,5
The Imitation Game,2014,1,8
American Sniper,2014,1,6
Boyhood,2014,1,6
Interstellar,2014,1,5
The Theory of Everything,2014,1,5
Ida,2014,1,2
Selma,2014,1,2
Citizenfour,2014,1,1
Big Hero 6,2014,1,1
Crisis Hotline: Veterans Press 1,2014,1,1
The Phone Call,2014,1,1
Still Alice,2014,1,1
Feast,2014,1,1
12 Years a Slave,2013,3,9
Gravity,2013,7,10
Dallas Buyers Club,2013,3,6
Frozen,2013,2,2
The Great Gatsby,2013,2,2
Her,2013,1,5
Blue Jasmine,2013,1,3
Mr Hublot,2013,1,1
The Lady in Number 6,2013,1,1
Helium,2013,1,1
The Great Beauty,2013,1,1
20 Feet from Stardom,2013,1,1
Argo,2012,3,7
Life of Pi,2012,4,11
Les Misérables,2012,3,8
Lincoln,2012,2,12
Django Unchained,2012,2,5
Skyfall,2012,2,5
Silver Linings Playbook,2012,1,8
Zero Dark Thirty,2012,1,5
Amour,2012,1,5
Anna Karenina,2012,1,4
Paperman,2012,1,1
Brave,2012,1,1
Searching for Sugar Man,2012,1,1
Inocente,2012,1,1
Curfew,2012,1,1
